иметь	in
компактный	compact
неподвижный	fixed
сжать	contraction
отображение	mapping
пространство	space
полный	complete
метрический	metric
подмножество	subset
замкнутый	closure
замыкание	closure_of_set
фундаментальный	cauchy_sequence
единственный	unique
суммировать	summar
выполнить	=>
подпоследовательность	subsequence
последовательность	sequence
функция	function
монотонный	M
точка	point
существовать	exists
весь	forall
отрезок	closed_interval
многочлен	polynom
любой	forall
определить	dom
непрерывный	C
измеримый	L0
найти	exists
интервал	open_interval
дифференцировать	d
равный	equal
предел	limit
стремить	lim
пусть	if
если	if
разбиение	spl
сумма	summ
разность	diff
произведение	mult
множество	set
сойтись	lim
ограничить	B
мера	measure
производная	der
дифференцируемый	d
бесконечность	inf
всякий	forall
каждый	forall
малый	less
задать	dom
минимальный	min
максимальный	max
положительный	positive
совпасть	equal
замкнуть	closure
тогда		then
выделить exists
действительный real
